date,open,high,low,close,chg,chgPct,volume,value 
2010/4/16,3450.00 ,3488.00 ,3413.20 ,3415.60 ,！！,！！,48988.00 ,50538807296.00 
2010/4/19,3396.00 ,3398.00 ,3166.20 ,3197.40 ,(218.20),(6.39),109733.00 ,108206415872.00 
2010/4/20,3209.20 ,3240.00 ,3168.80 ,3214.60 ,17.20 ,0.54 ,141862.00 ,136342093824.00 
2010/4/21,3215.00 ,3281.20 ,3208.00 ,3267.20 ,52.60 ,1.64 ,114531.00 ,111267897344.00 
2010/4/22,3260.20 ,3274.40 ,3211.00 ,3236.20 ,(31.00),(0.95),133247.00 ,129629806592.00 
2010/4/23,3241.00 ,3266.00 ,3221.00 ,3221.20 ,(15.00),(0.46),116981.00 ,113886814208.00 
2010/4/26,3243.00 ,3252.00 ,3211.80 ,3219.60 ,(1.60),(0.05),112229.00 ,108949725184.00 
2010/4/27,3201.20 ,3205.00 ,3107.60 ,3138.80 ,(80.80),(2.51),139961.00 ,132007157760.00 
2010/4/28,3101.60 ,3142.60 ,3094.20 ,3129.00 ,(9.80),(0.31),128530.00 ,120470298624.00 
2010/4/29,3141.00 ,3157.60 ,3082.20 ,3083.80 ,(45.20),(1.44),116254.00 ,109415653376.00 
2010/4/30,3103.00 ,3119.60 ,3043.00 ,3107.00 ,23.20 ,0.75 ,184157.00 ,170310303744.00 
2010/5/4,3079.80 ,3094.40 ,3060.80 ,3076.40 ,(30.60),(0.98),150123.00 ,138591338496.00 
2010/5/5,3046.40 ,3087.00 ,3031.00 ,3076.40 ,0.00 ,0.00 ,145542.00 ,133493194752.00 
2010/5/6,3078.60 ,3083.40 ,2953.60 ,2967.40 ,(109.00),(3.54),170221.00 ,154506805248.00 
2010/5/7,2928.00 ,2959.80 ,2862.20 ,2897.60 ,(69.80),(2.35),240106.00 ,209597906944.00 
2010/5/10,2910.00 ,2931.00 ,2870.00 ,2918.00 ,20.40 ,0.70 ,201919.00 ,175917203456.00 
2010/5/11,2949.00 ,2957.80 ,2797.20 ,2801.60 ,(116.40),(3.99),224626.00 ,194325118976.00 
2010/5/12,2809.00 ,2855.00 ,2782.00 ,2836.20 ,34.60 ,1.24 ,273131.00 ,231214055424.00 
